sex,age,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,studytime,failures,schoolsup,famsup,paid,activities,higher,romantic,famrel,freetime,goout,health,absences,avg_grade,alc
M,18,LE3,A,4,4,teacher,teacher,mother,2,0,no,yes,no,yes,yes,no,5,4,3,2,0,17.0,0.0
F,16,GT3,T,4,4,health,other,mother,1,0,no,yes,no,no,yes,no,4,4,4,2,6,17.0,0.0
F,16,LE3,T,2,1,other,other,mother,1,0,no,yes,no,no,yes,yes,5,4,3,5,2,8.666666666666666,0.0
F,17,GT3,T,2,2,other,other,mother,1,0,no,yes,no,no,yes,no,5,3,2,3,18,6.333333333333333,0.0
F,17,GT3,T,1,1,other,services,mother,1,1,no,yes,no,no,yes,yes,5,2,1,1,0,8.333333333333334,0.0
F,16,GT3,A,3,3,other,other,other,1,2,no,yes,no,yes,yes,yes,4,3,2,5,0,1.3333333333333333,0.0
F,18,GT3,T,2,1,other,other,mother,2,0,no,no,no,yes,yes,yes,4,3,1,5,10,13.0,0.0
F,17,GT3,T,4,2,other,other,mother,2,0,yes,yes,no,no,yes,no,4,3,3,5,0,17.666666666666668,1.0
M,16,GT3,T,2,3,other,other,father,1,0,no,no,no,no,yes,no,5,3,3,3,0,12.333333333333334,0.0
M,18,LE3,T,4,4,teacher,teacher,mother,1,0,no,yes,no,no,yes,yes,1,4,2,1,0,17.666666666666668,1.0
M,18,GT3,T,4,2,teacher,other,mother,2,0,no,yes,no,yes,yes,yes,4,3,2,5,2,15.666666666666666,1.0
F,19,GT3,T,1,1,at_home,services,mother,3,1,no,no,no,yes,no,yes,5,3,1,3,6,8.333333333333334,0.0
F,16,GT3,A,2,2,other,other,mother,1,1,no,no,no,no,yes,no,5,3,4,5,12,11.666666666666666,0.0
F,15,GT3,T,3,3,services,other,mother,2,0,no,yes,no,no,yes,yes,4,5,4,1,4,12.333333333333334,0.0
M,20,LE3,A,2,2,services,services,other,2,2,no,yes,yes,no,yes,no,5,5,4,4,11,9.0,1.0
F,17,GT3,T,4,4,teacher,services,father,2,0,no,yes,yes,yes,yes,no,4,3,3,5,2,12.0,0.0
M,15,GT3,T,4,4,services,services,mother,2,0,no,yes,no,yes,yes,no,4,3,1,5,2,15.0,0.0
M,16,LE3,A,3,4,services,other,mother,2,0,yes,yes,yes,yes,yes,no,5,3,3,5,2,12.333333333333334,0.0
M,16,LE3,T,4,3,other,other,father,1,0,no,no,no,yes,yes,no,4,2,5,5,8,13.0,1.0
M,18,GT3,T,2,1,services,services,mother,3,0,no,no,no,yes,yes,no,4,2,4,2,0,14.666666666666666,1.0
F,17,GT3,T,2,2,at_home,other,mother,1,0,no,yes,yes,no,yes,no,5,1,3,5,5,9.0,0.0
M,16,GT3,T,4,3,health,services,mother,4,0,no,no,no,yes,yes,no,4,2,2,2,4,19.333333333333332,0.0
M,16,LE3,T,2,2,services,services,father,1,0,no,yes,no,yes,yes,no,2,3,3,2,4,11.333333333333334,1.0
M,16,GT3,A,4,4,other,teacher,mother,3,0,no,yes,no,yes,yes,yes,2,4,3,5,4,13.0,0.0
F,17,LE3,A,3,2,services,other,mother,2,0,no,no,no,no,yes,yes,1,2,3,5,2,11.666666666666666,0.0
F,18,GT3,T,4,4,teacher,teacher,mother,2,0,no,no,no,yes,yes,no,4,3,5,1,0,18.0,0.0
F,17,GT3,T,1,1,other,at_home,mother,1,0,no,yes,no,yes,yes,no,4,3,2,5,9,8.666666666666666,0.0
M,18,LE3,T,3,3,other,services,mother,2,1,no,yes,no,no,yes,yes,4,3,3,5,8,4.333333333333333,1.0
M,17,LE3,T,4,3,teacher,other,mother,2,0,no,no,no,yes,yes,no,4,4,4,4,0,10.666666666666666,1.0
F,17,GT3,T,3,4,services,other,mother,3,0,no,no,no,no,yes,no,4,4,5,5,8,12.666666666666666,1.0
F,19,LE3,T,1,1,at_home,other,other,2,1,yes,yes,no,yes,yes,no,4,4,3,3,18,10.666666666666666,1.0
F,16,GT3,T,3,3,services,other,father,3,1,yes,yes,no,yes,yes,no,4,1,2,2,0,9.0,0.0
F,18,LE3,T,1,1,other,other,mother,2,0,no,yes,yes,no,yes,no,4,4,3,3,2,11.0,0.0
F,17,GT3,T,3,4,at_home,services,father,3,0,no,yes,no,yes,yes,no,4,3,4,5,2,15.666666666666666,1.0
M,18,GT3,T,2,1,other,other,mother,1,0,no,no,no,yes,yes,yes,4,4,3,5,5,6.666666666666667,1.0
F,16,LE3,T,4,4,teacher,teacher,mother,2,0,no,yes,yes,no,yes,no,4,5,2,3,0,9.333333333333334,0.0
F,20,GT3,T,1,1,other,other,other,3,0,no,no,no,no,yes,yes,3,2,2,3,8,13.666666666666666,1.0
M,17,GT3,T,3,3,services,at_home,mother,4,1,no,yes,yes,yes,yes,no,5,4,5,5,0,10.333333333333334,1.0
M,17,LE3,T,2,2,other,other,father,2,0,no,no,no,yes,yes,yes,4,4,2,4,0,16.0,1.0
F,15,GT3,T,4,2,other,other,mother,3,0,no,yes,no,yes,yes,no,5,3,3,1,4,13.666666666666666,1.0
M,18,LE3,T,4,4,services,other,mother,1,0,no,yes,no,yes,yes,no,5,4,5,5,3,17.0,0.0
M,15,GT3,T,4,4,services,services,mother,2,0,no,yes,no,yes,yes,no,4,3,1,5,0,16.666666666666668,0.0
F,16,LE3,T,3,1,other,other,father,2,0,yes,yes,no,no,yes,no,3,3,3,2,0,12.333333333333334,1.0
F,16,LE3,T,2,4,other,health,father,2,0,no,yes,no,yes,yes,yes,4,2,2,5,2,13.0,0.0
M,19,GT3,T,3,2,services,at_home,mother,1,3,no,yes,no,no,no,yes,4,5,4,4,0,1.6666666666666667,0.0
M,18,LE3,T,1,1,other,other,mother,1,3,no,no,no,no,no,yes,2,3,5,4,0,3.6666666666666665,1.0
M,16,GT3,T,4,4,services,teacher,father,3,0,no,yes,no,yes,yes,yes,4,4,3,4,0,16.666666666666668,0.0
F,17,GT3,T,1,2,other,services,father,2,0,no,no,no,no,yes,no,3,2,2,3,0,13.0,0.0
M,18,LE3,T,4,4,teacher,services,mother,3,0,no,no,yes,no,yes,yes,4,2,2,5,0,13.0,1.0
M,17,LE3,T,2,2,other,other,father,2,0,no,no,yes,yes,yes,yes,4,4,2,4,4,13.333333333333334,1.0
F,21,LE3,T,4,4,other,other,other,3,2,no,no,yes,yes,yes,no,3,3,2,5,0,11.0,0.0
F,16,GT3,T,3,1,other,other,mother,1,0,no,no,no,yes,yes,no,3,1,3,1,0,7.333333333333333,1.0
F,16,LE3,A,2,2,at_home,other,mother,4,0,no,no,no,yes,no,yes,1,2,1,1,4,10.0,0.0
M,17,GT3,T,4,3,services,other,mother,2,0,no,yes,yes,yes,yes,yes,4,5,5,2,4,11.666666666666666,1.0
F,16,GT3,T,2,3,other,other,mother,2,0,yes,yes,no,yes,yes,no,4,4,3,4,4,11.666666666666666,1.0
M,16,GT3,T,2,2,at_home,other,mother,1,0,no,no,no,no,yes,no,4,2,2,3,4,11.0,0.0
M,17,GT3,T,3,3,health,other,mother,1,0,no,yes,no,no,yes,no,4,4,3,5,0,14.666666666666666,1.0
M,18,GT3,T,4,4,at_home,services,mother,1,0,no,yes,yes,yes,yes,yes,2,5,5,1,5,13.0,0.0
F,17,GT3,T,4,4,other,teacher,mother,1,0,yes,yes,no,no,yes,yes,4,2,1,4,0,11.333333333333334,0.0
F,16,GT3,T,3,3,other,other,mother,2,0,yes,yes,no,yes,yes,no,5,3,2,4,4,9.333333333333334,0.0
M,17,GT3,T,1,1,other,other,mother,2,0,no,no,yes,no,yes,no,4,4,3,5,4,8.666666666666666,1.0
F,17,GT3,T,1,1,services,teacher,mother,3,0,no,yes,yes,no,yes,no,4,3,3,3,6,12.333333333333334,0.0
M,15,GT3,T,4,3,teacher,other,mother,2,0,no,yes,no,yes,yes,no,4,3,3,5,0,11.0,1.0
F,17,GT3,T,1,1,at_home,services,mother,2,0,no,no,no,yes,yes,no,5,3,3,3,0,8.333333333333334,0.0
F,18,LE3,T,1,1,at_home,services,father,3,0,no,no,no,no,yes,no,5,3,2,4,0,16.666666666666668,0.0
M,17,LE3,T,4,4,other,teacher,father,1,0,no,no,yes,no,yes,no,4,1,1,5,0,10.666666666666666,1.0
F,17,GT3,T,2,2,other,at_home,mother,3,0,no,no,no,yes,yes,yes,3,4,3,3,8,11.666666666666666,0.0
F,19,GT3,T,2,3,at_home,services,other,1,1,no,no,no,no,no,yes,4,4,4,2,0,9.333333333333334,0.0
F,15,LE3,A,2,1,at_home,other,mother,1,0,no,yes,no,yes,no,yes,4,4,2,5,0,10.333333333333334,0.0
M,17,GT3,T,1,2,at_home,other,mother,2,0,no,no,no,no,yes,no,3,1,3,3,4,9.0,1.0
F,17,GT3,A,2,1,other,other,mother,3,0,no,no,no,yes,yes,yes,3,2,3,3,0,15.333333333333334,0.0
M,15,LE3,T,1,2,other,at_home,father,2,0,yes,yes,no,yes,yes,no,4,3,2,5,0,13.666666666666666,0.0
M,16,LE3,T,1,1,services,other,mother,2,1,no,no,no,no,yes,yes,4,4,4,5,0,12.666666666666666,1.0
M,19,LE3,T,2,1,at_home,services,mother,3,1,no,no,no,yes,yes,yes,4,3,1,5,0,10.0,0.0
M,16,GT3,T,4,3,health,services,mother,4,0,no,no,no,yes,yes,no,4,2,2,2,2,17.0,0.0
F,17,GT3,T,2,2,other,other,mother,2,0,no,yes,no,no,yes,yes,4,2,2,3,4,13.333333333333334,0.0
M,16,LE3,T,4,2,teacher,other,mother,2,0,no,no,no,yes,yes,no,4,5,1,5,0,13.0,1.0
F,18,LE3,T,4,4,teacher,services,mother,2,0,no,no,no,yes,yes,no,5,4,3,2,1,13.666666666666666,1.0
F,15,GT3,T,1,1,at_home,other,mother,4,1,yes,yes,yes,yes,yes,no,3,1,2,1,2,9.0,0.0
F,17,LE3,T,2,2,services,services,father,4,0,no,no,yes,yes,yes,yes,3,4,1,2,0,6.333333333333333,0.0
F,17,GT3,T,4,3,other,other,mother,2,2,no,no,yes,no,yes,yes,3,4,5,1,22,5.333333333333333,1.0
M,16,GT3,T,3,2,services,other,father,1,0,no,no,no,no,yes,no,4,5,5,5,2,10.0,1.0
F,16,GT3,T,4,2,health,services,father,2,0,no,no,yes,no,yes,yes,4,2,3,3,0,15.0,0.0
M,15,GT3,T,4,3,teacher,other,mother,2,0,no,yes,yes,yes,yes,no,4,3,3,5,6,9.333333333333334,1.0
F,15,GT3,T,2,2,other,services,mother,3,0,no,yes,no,yes,yes,no,5,3,2,4,0,13.0,0.0
F,18,GT3,T,3,2,other,services,mother,3,0,no,no,no,no,yes,yes,5,4,3,1,7,13.333333333333334,1.0
M,19,GT3,T,3,2,at_home,services,mother,1,3,no,no,no,yes,yes,no,3,2,1,3,4,8.666666666666666,0.0
M,16,LE3,T,1,1,at_home,other,mother,1,0,no,no,no,yes,yes,no,4,5,5,5,0,9.666666666666666,1.0
F,18,LE3,T,4,3,other,other,other,2,0,no,yes,yes,no,yes,yes,4,4,5,2,10,8.666666666666666,0.0
F,18,GT3,A,3,2,other,services,other,3,0,no,yes,no,yes,yes,yes,4,3,3,5,10,11.333333333333334,1.0
M,15,GT3,T,3,4,other,other,mother,2,0,no,yes,no,yes,yes,no,5,5,1,5,0,12.333333333333334,0.0
F,18,LE3,A,2,2,services,other,mother,2,0,no,yes,no,no,yes,no,4,1,4,4,10,16.0,1.0
M,19,GT3,T,1,2,other,services,other,2,1,no,no,no,no,yes,no,4,5,2,4,3,11.666666666666666,1.0
F,16,LE3,T,3,1,other,other,father,2,0,yes,yes,no,no,yes,no,3,3,3,2,4,6.333333333333333,1.0
M,17,GT3,T,3,2,other,other,mother,2,2,yes,yes,no,no,yes,yes,4,4,4,3,4,7.0,1.0
M,18,LE3,T,2,2,other,other,mother,4,0,no,yes,yes,yes,yes,no,4,5,5,5,0,11.333333333333334,1.0
M,17,LE3,A,4,4,teacher,other,mother,2,0,no,yes,yes,no,yes,no,3,3,3,4,2,11.0,1.0
M,15,LE3,A,2,1,services,services,mother,1,0,no,no,no,yes,yes,no,4,3,3,5,11,12.333333333333334,0.0
M,17,GT3,T,3,3,services,services,mother,2,0,no,yes,no,yes,yes,yes,4,3,4,4,12,11.666666666666666,1.0
M,18,LE3,T,3,3,services,health,father,2,1,no,yes,yes,no,yes,no,3,2,4,4,13,6.666666666666667,1.0
F,16,GT3,T,2,3,at_home,services,mother,2,0,no,yes,no,yes,yes,no,3,3,3,2,0,9.333333333333334,0.0
M,17,GT3,T,4,4,services,teacher,mother,1,0,no,no,no,no,yes,no,5,2,3,5,4,16.0,0.0
F,17,GT3,T,2,2,at_home,at_home,mother,3,0,no,yes,yes,yes,yes,no,4,3,3,4,4,9.666666666666666,0.0
F,16,GT3,T,4,4,health,teacher,father,2,0,no,no,no,yes,yes,yes,4,3,3,2,0,15.333333333333334,1.0
F,16,GT3,T,1,1,at_home,other,mother,1,0,no,yes,yes,no,yes,no,4,3,2,5,6,9.333333333333334,1.0
F,18,GT3,T,1,2,other,other,father,2,1,no,yes,no,yes,yes,yes,3,4,4,5,9,8.333333333333334,1.0
F,19,GT3,T,1,1,at_home,other,other,2,1,no,yes,no,no,yes,yes,4,3,3,3,4,8.0,0.0
M,19,LE3,A,4,3,services,at_home,mother,2,0,no,yes,no,no,yes,no,4,3,1,1,12,11.0,0.0
F,16,LE3,T,2,2,other,other,mother,3,0,no,yes,no,no,yes,yes,4,3,3,5,2,11.0,1.0
M,15,GT3,T,2,3,at_home,services,mother,2,0,yes,no,yes,yes,yes,no,4,4,4,1,0,7.666666666666667,0.0
F,16,GT3,A,2,2,other,other,mother,2,0,yes,yes,no,no,yes,no,3,3,4,4,0,13.0,0.0
F,16,GT3,T,2,2,services,services,mother,1,0,no,yes,no,no,yes,no,1,2,2,5,6,11.0,1.0
F,16,LE3,T,2,2,at_home,other,mother,2,0,no,yes,no,no,yes,no,4,3,4,2,4,7.0,0.0
M,17,GT3,T,4,3,services,other,mother,2,1,no,yes,yes,yes,yes,yes,4,5,5,2,4,10.666666666666666,1.0
M,16,GT3,T,4,4,services,services,mother,1,0,no,no,yes,yes,yes,no,5,3,2,5,4,14.666666666666666,0.0
F,15,LE3,T,3,1,other,other,father,4,0,no,yes,no,no,yes,no,4,4,2,3,6,15.0,1.0
F,17,GT3,T,4,3,other,other,mother,2,0,no,no,no,no,yes,yes,3,4,5,1,16,10.0,1.0
F,16,GT3,T,3,2,services,at_home,mother,1,0,no,no,no,no,yes,no,3,1,3,3,2,6.666666666666667,1.0
M,16,GT3,A,1,2,other,other,mother,3,0,yes,no,no,no,yes,no,4,4,3,5,0,10.666666666666666,0.0
F,17,GT3,T,4,4,teacher,services,mother,3,0,no,yes,no,yes,yes,no,5,4,4,4,0,12.666666666666666,1.0
M,19,GT3,T,1,1,other,other,other,1,1,no,yes,no,no,yes,no,4,4,4,5,4,9.0,1.0
F,15,GT3,T,1,2,at_home,services,mother,2,0,no,no,no,no,yes,no,3,2,3,1,2,15.333333333333334,0.0
M,15,LE3,T,1,2,other,other,mother,1,0,no,no,no,yes,yes,no,4,4,4,5,2,9.0,1.0
F,17,GT3,T,1,1,at_home,other,father,2,0,no,yes,no,no,yes,no,5,3,3,3,2,10.333333333333334,0.0
M,18,GT3,T,1,2,at_home,other,other,1,0,no,no,no,no,no,no,3,4,4,4,10,10.333333333333334,1.0
M,16,GT3,T,3,3,services,other,mother,2,0,no,no,yes,yes,yes,yes,4,2,3,3,2,12.333333333333334,0.0
F,17,GT3,T,4,4,services,teacher,mother,1,1,no,yes,no,no,yes,no,4,2,4,2,24,18.0,1.0
F,17,LE3,T,2,2,other,other,father,1,0,no,yes,no,no,yes,yes,3,4,4,5,12,11.666666666666666,1.0
M,16,GT3,T,3,4,other,other,father,1,1,no,yes,no,yes,yes,no,3,4,5,2,4,9.333333333333334,1.0
F,17,GT3,T,1,1,other,services,father,2,0,no,yes,no,no,yes,no,4,3,4,5,4,10.666666666666666,0.0
F,18,GT3,T,4,3,other,other,mother,3,0,no,yes,yes,yes,yes,yes,4,3,4,5,9,9.333333333333334,0.0
F,15,LE3,T,1,1,at_home,other,mother,2,0,yes,no,no,no,yes,no,4,3,2,3,6,12.333333333333334,1.0
F,19,GT3,T,2,3,services,other,mother,3,1,no,no,no,yes,yes,no,5,4,2,5,0,4.0,0.0
F,17,LE3,A,3,3,services,other,mother,2,0,yes,yes,no,no,yes,no,5,3,3,5,0,12.333333333333334,0.0
F,16,GT3,T,2,2,services,other,mother,2,0,no,no,yes,yes,yes,no,3,4,4,5,2,12.333333333333334,1.0
M,18,GT3,T,4,4,teacher,services,father,2,0,no,yes,no,yes,yes,no,4,3,3,2,0,12.333333333333334,1.0
F,18,GT3,T,2,3,other,services,father,4,0,no,yes,no,yes,yes,yes,4,5,5,2,10,16.0,1.0
F,18,GT3,T,2,1,services,other,mother,2,0,no,yes,no,yes,yes,no,5,3,3,1,2,13.0,0.0
F,16,GT3,T,3,1,services,other,mother,4,0,yes,yes,yes,no,yes,no,4,3,3,5,4,6.666666666666667,0.0
M,17,GT3,T,3,1,services,other,mother,2,0,no,no,no,yes,yes,yes,5,4,4,5,0,12.0,1.0
M,17,GT3,T,1,3,other,other,father,2,1,no,yes,no,yes,yes,no,5,2,4,5,14,11.333333333333334,1.0
F,16,GT3,T,2,3,services,teacher,mother,2,0,yes,no,no,no,yes,no,2,3,1,3,0,13.333333333333334,0.0
F,16,GT3,T,4,4,health,teacher,mother,2,0,no,yes,no,yes,yes,no,2,4,4,4,0,16.333333333333332,1.0
M,15,GT3,T,2,2,services,services,father,1,0,yes,yes,no,no,yes,no,5,4,1,1,0,9.666666666666666,0.0
F,17,GT3,T,3,1,at_home,other,mother,2,0,no,yes,no,yes,yes,no,4,5,4,1,10,8.666666666666666,1.0
