sex,age,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,studytime,failures,schoolsup,famsup,paid,activities,higher,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
F,18,GT3,A,4,4,at_home,teacher,mother,2,0,yes,no,no,no,yes,no,4,3,4,1,1,3,4,0,11,11
F,17,GT3,T,1,1,at_home,other,father,2,0,no,yes,no,no,yes,no,5,3,3,1,1,3,2,9,11,11
F,15,LE3,T,1,1,at_home,other,mother,2,0,yes,no,no,no,yes,no,4,3,2,2,3,3,6,12,13,12
F,15,GT3,T,4,2,health,services,mother,3,0,no,yes,no,yes,yes,yes,3,2,2,1,1,5,0,14,14,14
F,16,GT3,T,3,3,other,other,father,2,0,no,yes,no,no,yes,no,4,3,2,1,2,5,0,11,13,13
M,16,LE3,T,4,3,services,other,mother,2,0,no,yes,no,yes,yes,no,5,4,2,1,2,5,6,12,12,13
M,16,LE3,T,2,2,other,other,mother,2,0,no,no,no,no,yes,no,4,4,4,1,1,3,0,13,12,13
F,17,GT3,A,4,4,other,teacher,mother,2,0,yes,yes,no,no,yes,no,4,1,4,1,1,1,2,10,13,13
M,15,LE3,A,3,2,services,other,mother,2,0,no,yes,no,no,yes,no,4,2,2,1,1,1,0,15,16,17
M,15,GT3,T,3,4,other,other,mother,2,0,no,yes,no,yes,yes,no,5,5,1,1,1,5,0,12,12,13
F,15,GT3,T,4,4,teacher,health,mother,2,0,no,yes,no,no,yes,no,3,3,3,1,2,2,2,14,14,14
F,15,GT3,T,2,1,services,other,father,3,0,no,yes,no,yes,yes,no,5,2,2,1,1,4,0,10,12,13
M,15,LE3,T,4,4,health,services,father,1,0,no,yes,no,yes,yes,no,4,3,3,1,3,5,0,12,13,12
M,15,GT3,T,4,3,teacher,other,mother,2,0,no,yes,no,no,yes,no,5,4,3,1,2,3,0,12,12,13
M,15,GT3,A,2,2,other,other,other,3,0,no,yes,no,no,yes,yes,4,5,2,1,1,3,0,14,14,15
F,16,GT3,T,4,4,health,other,mother,1,0,no,yes,no,no,yes,no,4,4,4,1,2,2,6,17,17,17
F,16,GT3,T,4,4,services,services,mother,3,0,no,yes,no,yes,yes,no,3,2,3,1,2,2,10,13,13,14
F,16,GT3,T,3,3,other,other,mother,2,0,yes,yes,no,yes,yes,no,5,3,2,1,1,4,2,13,14,14
M,17,GT3,T,3,2,services,services,mother,1,3,no,yes,yes,yes,yes,no,5,5,5,2,4,5,2,8,8,7
M,16,LE3,T,4,3,health,other,father,1,0,no,no,no,yes,yes,no,3,1,3,1,3,5,6,12,12,12
M,15,GT3,T,4,3,teacher,other,mother,2,0,no,no,no,no,yes,no,4,4,1,1,1,1,0,12,13,14
M,15,GT3,T,4,4,health,health,father,1,0,no,yes,yes,no,yes,no,5,4,2,1,1,5,0,11,12,12
M,16,LE3,T,4,2,teacher,other,mother,2,0,no,no,no,yes,yes,no,4,5,1,1,3,5,0,12,13,14
M,16,LE3,T,2,2,other,other,mother,2,0,no,yes,no,yes,yes,no,5,4,4,2,4,5,2,10,10,10
F,15,GT3,T,2,4,services,health,mother,3,0,yes,yes,no,yes,yes,no,4,3,2,1,1,5,2,10,11,10
F,16,GT3,T,2,2,services,services,mother,1,0,no,yes,no,no,yes,no,1,2,2,1,3,5,6,10,11,12
M,15,GT3,T,2,2,other,other,mother,1,0,no,yes,no,no,yes,no,4,2,2,1,2,5,8,11,12,12
M,15,GT3,T,4,2,health,services,mother,1,0,no,no,no,no,yes,no,2,2,4,2,4,1,0,11,11,11
M,16,LE3,A,3,4,services,other,mother,2,0,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,2,12,12,13
M,16,GT3,T,4,4,teacher,teacher,mother,2,0,no,yes,yes,yes,yes,yes,4,4,5,5,5,5,4,12,11,12
M,15,GT3,T,4,4,health,services,mother,2,0,no,yes,yes,no,yes,no,5,4,2,3,4,5,0,10,11,11
M,15,GT3,T,4,4,services,services,mother,2,0,no,yes,no,yes,yes,no,4,3,1,1,1,5,2,15,15,15
M,15,GT3,T,4,3,teacher,at_home,mother,2,0,no,yes,no,yes,yes,yes,4,5,2,1,1,5,0,13,14,15
M,15,LE3,T,3,3,other,other,mother,2,0,no,no,no,yes,yes,no,5,3,2,1,1,2,0,13,12,12
M,16,GT3,T,3,2,other,other,mother,1,0,no,yes,no,no,yes,no,5,4,3,1,1,5,4,12,12,12
F,15,GT3,T,2,3,other,other,father,1,0,no,yes,no,yes,yes,no,3,5,1,1,1,5,4,11,11,11
M,15,LE3,T,4,3,teacher,services,mother,3,0,no,yes,no,yes,yes,no,5,4,3,1,1,4,0,14,14,14
M,16,GT3,A,4,4,other,teacher,mother,3,0,no,yes,no,yes,yes,yes,2,4,3,1,1,5,4,13,13,13
F,15,GT3,T,3,4,services,health,mother,3,0,yes,yes,no,yes,yes,no,4,3,2,1,1,5,2,11,12,12
F,15,GT3,T,2,2,at_home,other,mother,1,0,yes,yes,no,yes,yes,no,4,3,1,1,1,2,8,14,13,12
F,16,LE3,T,2,2,other,other,mother,2,0,no,yes,no,yes,yes,yes,3,3,3,1,2,3,16,11,11,10
M,15,LE3,T,4,4,teacher,other,other,1,0,no,yes,no,no,yes,yes,5,4,3,2,4,5,8,10,11,11
M,15,GT3,T,4,4,services,teacher,father,2,0,no,yes,no,yes,yes,no,4,3,3,1,1,5,0,14,15,15
M,15,GT3,T,2,2,services,services,father,1,0,yes,yes,no,no,yes,no,5,4,1,1,1,1,0,9,10,10
F,16,LE3,T,2,2,other,at_home,father,2,1,yes,no,no,yes,yes,no,4,3,3,2,2,5,14,10,11,11
F,15,LE3,A,4,3,other,other,mother,2,0,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,4,10,11,11
F,16,LE3,A,3,3,other,services,mother,2,0,no,yes,no,no,yes,no,2,3,5,1,4,3,6,13,12,13
M,16,GT3,T,4,3,health,services,mother,4,0,no,no,no,yes,yes,no,4,2,2,1,1,2,2,17,17,17
M,15,GT3,T,4,2,teacher,other,mother,2,0,no,yes,no,no,yes,no,4,3,3,2,2,5,4,11,12,13
F,15,GT3,T,4,4,services,teacher,father,2,0,yes,yes,no,yes,yes,no,4,4,4,1,1,3,2,13,12,12
F,16,LE3,T,2,2,services,services,mother,2,0,no,yes,no,no,yes,no,4,3,3,2,3,4,0,14,13,13
F,15,LE3,T,4,2,health,other,mother,2,0,no,yes,no,no,yes,no,4,3,3,1,1,5,0,16,14,16
M,15,LE3,A,4,2,health,health,father,1,0,no,no,no,no,yes,no,5,5,5,3,4,5,4,10,9,9
